k,depth,dim,lr,best_val_sequence_acc,test_251_300,test_301_350,test_351_400
3,1,256,0.0001,1.0,1.0,1.0,1.0
4,1,256,0.0001,0.005,0.0,0.001,0.001
5,1,256,0.0001,0.14,0.096,0.11,0.126
4,2,256,0.0001,0.015,0.009,0.002,0.004
5,2,256,0.0001,0.76,0.538,0.448,0.388
6,2,256,0.0001,0.0,0.001,0.0,0.0
5,3,256,0.0001,1.0,0.999,1.0,0.999
6,3,256,0.0001,0.02,0.005,0.007,0.001
7,3,256,0.0001,0.435,0.326,0.257,0.213
6,4,256,0.0001,0.29,0.258,0.264,0.271
7,4,256,0.0001,0.57,0.326,0.219,0.152
8,4,256,0.0001,0.2,0.287,0.281,0.264
7,5,256,0.0001,0.52,0.342,0.24,0.166
8,5,256,0.0001,0.17,0.18,0.111,0.074
9,5,256,0.0001,0.485,0.281,0.175,0.113
8,6,256,0.0001,0.24,0.199,0.105,0.059
9,6,256,0.0001,0.515,0.324,0.203,0.117
10,6,256,0.0001,0.17,0.132,0.075,0.025
9,7,256,0.0001,0.585,0.307,0.176,0.107
10,7,256,0.0001,0.345,0.218,0.095,0.05
11,7,256,0.0001,0.43,0.272,0.124,0.051
10,8,256,0.0001,0.48,0.294,0.134,0.074
11,8,256,0.0001,0.465,0.27,0.119,0.048
12,8,256,0.0001,0.39,0.225,0.072,0.026
11,9,256,0.0001,0.41,0.247,0.124,0.055
12,9,256,0.0001,0.35,0.172,0.048,0.019
13,9,256,0.0001,0.4,0.256,0.094,0.038
12,10,256,0.0001,0.27,0.147,0.051,0.018
13,10,256,0.0001,0.465,0.219,0.081,0.026
14,10,256,0.0001,0.28,0.101,0.033,0.009
